Facility ID,Latitude,Longitude,Building Count,Total Building Footprint,Building as % of Area,Footprint per building,Highway,Trunk Road,Primary Road,Secondary Road,Tertiary Road,Residential Road,Railway,Parking Lot,Residential Area,Commercial Area,Retail Area,Industrial Area,Railway Area,Cemetery,Woodland,Park,Recreation,Education,Health Care,Water,Beach
18451,39.8521372,-86.1456646,829,"177,992",0.35,215,0,0,0,3048.17,196.82,164346.05,0,24150.52,0,0,22011.73,0,0,0,0,0,0,0,0,0,0
5030,40.4021124,-80.0313204,824,"122,762",0.24,149,0,0,0,0,84494.11,113180.3,0,0,0,0,0,0,0,0,0,1400.94,0,0,0,0,0
2424,40.8879338,-73.8310706,824,"230,546",0.45,280,0,0,17193.42,0,29320.8,70213.09,0,0,0,0,0,0,0,0,0,258425.13,0,0,0,0,0
12041,41.7508821,-87.6251938,822,"187,046",0.37,228,19827.02,0,0,5404.06,0,2389.55,0,49436.02,3307593.18,0,40215.88,322552.46,0,0,0,1192.64,0,0,0,0,0
1224,40.6657432,-73.8744114,821,"337,272",0.66,411,0,1605.57,0,364.53,3009.48,832272.54,0,7221.14,187241.39,0,0,0,0,0,0,0,7929.84,14574.76,0,0,0
4685,39.9488009,-75.1641675,819,"559,223",1,683,0,0,4960.36,1238.92,786.47,3078.41,0,74429.07,0,0,26563.17,0,0,0,0,17543.28,0,23519.8,0,420.6,0
15041,42.0025677,-87.8180138,814,"202,888",0.4,249,0,0,0,3.79,3265.2,9559.8,12035.69,17497.06,4758357.39,8807.92,62231.78,0,0,0,0,91867.47,36071.75,0,0,0,0
4808,40.060456,-75.1788596,813,"143,770",0.28,177,0,0,0,0,0,263891.56,27520.2,4930.25,0,0,0,0,0,0,0,31417.65,1169.53,0,0,0,0
9467,37.4036488,-122.0091975,812,"295,139",0.58,363,5707.46,0,0,5562.62,75246.01,314.78,0,8503.45,3073867.46,4136471.9,9751.97,0,0,0,0,435.43,97.66,0,0,0,0
2109,40.7065791,-73.92287,808,"434,670",0.85,538,0,0,74095.88,65.84,0,44569.1,0,0,0,766.79,0,0,0,0,0,48544.14,9233.84,6876.84,0,0,0
2344,40.843915,-73.8361681,808,"179,518",0.35,222,21804.65,0,0,1224.6,7203.51,157421.85,0,26866.84,0,0,0,0,202321.59,0,0,256898.69,6144.49,0,540213.37,0,0
4815,40.0575,-75.1947222,806,"187,144",0.37,232,0,0,0,612.07,5963.54,116207.53,109693.71,15805.99,0,0,61540.78,0,0,0,291413,0,4721.46,283349.75,0,0,0
12241,41.8542962,-87.6856807,803,"266,745",0.52,332,0,0,0,33.25,1732.93,3047.34,1514815.27,87104.36,337521.13,356739.74,202346.9,8802927.17,210463.2,0,0,0,566.61,19576.73,0,0,0
19559,37.7911158,-122.2432435,802,"215,687",0.42,269,0,0,625.51,30968.16,308.83,99743.18,0,20148.14,2326.62,0,2479.76,2497.46,0,0,0,90044.85,13169.79,11624.69,0,0,0
2302,40.7453747,-73.9984144,802,"435,327",0.86,543,0,0,0,583.16,0,21802.26,0,15438.47,213877.77,0,0,0,0,0,0,3755,15242.98,52161.7,0,0,0
7297,42.6165241,-70.6681436,801,"207,973",0.41,260,0,0,0,15833.96,136629.49,134282.35,76549.19,16850.52,0,0,0,0,0,118984.91,0,12005.38,0,0,0,0,0
7340,42.4217347,-71.1334443,800,"194,532",0.38,243,0,0,0,32110.44,4202.26,171343.65,1285.63,14137.05,32440.96,1068.24,0,0,0,0,0,0,19857.06,46205.63,0,0,0
1182,40.5884373,-73.657908,799,"227,128",0.45,284,0,0,71663.56,0,0,46113.94,0,47012.43,10018921.13,0,356992.42,0,0,0,0,0,736.31,0,0,0,0
12054,41.7788475,-87.6637963,798,"177,261",0.35,222,0,0,0,71.13,342.09,7157.77,0,36997.18,10912966.19,0,0,0,36618.35,0,0,418801.53,0,44199.65,0,0,0
6810,42.3475035,-71.074932,797,"418,651",0.82,525,121362.83,0,2673.72,6228.11,3819.72,48074.13,506706.43,16620.36,18161.09,510186.91,41715.48,0,0,0,1882.67,47459.27,1785.48,9720.76,0,820.95,0
